srs,language,pipeline_verification_pass_ratio,cot_verification_pass_ratio,mot_verification_pass_ratio,d_cot_verification_pass_ratio,d_mot_verification_pass_ratio,d_total_verification_pass_ratio,pipeline_test_case_pass_ratio,cot_test_case_pass_ratio,mot_test_case_pass_ratio,d_cot_test_case_pass_ratio,d_mot_test_case_pass_ratio,d_total_test_case_pass_ratio,pipeline_avg_input_token,cot_avg_input_token,mot_avg_input_token,d_cot_avg_input_token,d_mot_avg_input_token,d_total_avg_input_token,pipeline_avg_output_token,cot_avg_output_token,mot_avg_output_token,d_cot_avg_output_token,d_mot_avg_output_token,d_total_avg_output_token,pipeline_total_time,cot_total_time,mot_total_time,d_cot_total_time,d_mot_total_time,d_total_total_time,pipeline_avg_verification_iter,cot_avg_verification_iter,mot_avg_verification_iter,d_cot_avg_verification_iter,d_mot_avg_verification_iter,d_total_avg_verification_iter,pipeline_avg_test_iter,cot_avg_test_iter,mot_avg_test_iter,d_cot_avg_test_iter,d_mot_avg_test_iter,d_total_avg_test_iter,pipeline_PassVer@1,cot_PassVer@1,mot_PassVer@1,d_cot_PassVer@1,d_mot_PassVer@1,d_total_PassVer@1,pipeline_total_tokens,cot_total_tokens,mot_total_tokens,d_cot_total_tokens,d_mot_total_tokens,d_total_total_tokens
Shoten_SRS,python,1.0,0.9444,0.7963,-0.0556,-0.1481,-0.2037,0.0,0.0,0.0,0.0,0.0,0.0,4115.1,4039.5,5195.3,-75.6,1155.8,1080.2,1326.8,1249.4,1435.5,-77.4,186.1,108.7,10126.43,10043.26,12492.33,-83.17,2449.07,2365.9,2.96,3.22,3.65,0.26,0.43,0.69,0.0,5,5,5.0,0.0,5.0,1.0,0.9444,0.7963,-0.0556,-0.1481,-0.2037,1425785,1644833,2426853,219048.0,782020.0,1001068.0
TRADING SOFTWARE,java,0.75,1.0,0.0,0.25,-1.0,-0.75,0.0,0.0,1.0,0.0,1.0,1.0,3055.1,2731.1,2923.4,-324.0,192.3,-131.7,836.3,1257.4,1458.6,421.1,201.2,622.3,2548.81,299.62,560.19,-2249.19,260.57,-1988.62,2.33,3.0,4.0,0.67,1.0,1.67,1,0.0,1,-1.0,1.0,0.0,0.75,1.0,1.0,0.25,0.0,0.25,354124,31908,70111,-322216.0,38203.0,-284013.0
TRADING SOFTWARE,javascript,0.8333,1.0,1.0,0.1667,0.0,0.1667,0.2727,0.0,0.0,-0.2727,0.0,-0.2727,2494.8,1885.4,1728.8,-609.4,-156.6,-766.0,712.8,965.0,897.2,252.2,-67.8,184.4,1642.45,395.49,417.3,-1246.96,21.81,-1225.15,2.25,2.0,1.0,-0.25,-1.0,-1.25,1,0.0,0.0,-1.0,0.0,-1.0,0.8333,1.0,1.0,0.1667,0.0,0.1667,243778,34205,31513,-209573.0,-2692.0,-212265.0
TRADING SOFTWARE,python,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2914.8,2453.0,2323.9,-461.8,-129.1,-590.9,807.7,1244.3,1076.0,436.6,-168.3,268.3,2062.5,331.2,1132.29,-1731.3,801.09,-930.21,2.25,2.0,4.0,-0.25,2.0,1.75,0.0,0.0,5,0.0,5.0,5.0,1.0,1.0,0.0,0.0,-1.0,-1.0,349917,25881,129197,-324036.0,103316.0,-220720.0
dineout_srs,java,0.4615,0.6923,0.5385,0.2308,-0.1538,0.077,0.0,0.0,0.0,0.0,0.0,0.0,2345.6,2813.6,2796.4,468.0,-17.2,450.8,853.2,1246.1,1098.8,392.9,-147.3,245.6,1897.83,2997.73,3054.71,1099.9,56.98,1156.88,3.12,2.12,2.85,-1.0,0.73,-0.27,1,1,1,0.0,0.0,0.0,0.4615,0.6923,0.5385,0.2308,-0.1538,0.077,281495,328833,350573,47338.0,21740.0,69078.0
dineout_srs,javascript,0.6154,0.5385,0.5,-0.0769,-0.0385,-0.1154,0.9231,0.6364,0.5185,-0.2867,-0.1179,-0.4046,2057.6,2443.3,2376.5,385.7,-66.8,318.9,614.9,988.2,800.1,373.3,-188.1,185.2,1795.92,2809.11,3492.11,1013.19,683.0,1696.19,2.23,3.08,3.08,0.85,0.0,0.85,1,1,1,0.0,0.0,0.0,0.6923,0.6923,0.5769,0.0,-0.1154,-0.1154,243197,325989,330367,82792.0,4378.0,87170.0
dineout_srs,python,0.7692,0.9615,0.8462,0.1923,-0.1153,0.077,0.0,1.0,0.6471,1.0,-0.3529,0.6471,3914.9,4085.5,4354.8,170.6,269.3,439.9,825.9,1137.8,1123.3,311.9,-14.5,297.4,2784.88,5098.32,7786.02,2313.44,2687.7,5001.14,2.19,3.23,3.54,1.04,0.31,1.35,5,5,5,0.0,0.0,0.0,0.7692,1.0,0.9231,0.2308,-0.0769,0.1539,801199,773052,1161338,-28147.0,388286.0,360139.0
foodsaver,java,0.8108,0.7568,0.6757,-0.054,-0.0811,-0.1351,0.0,0.0,0.0,0.0,0.0,0.0,2985.3,3077.0,2757.4,91.7,-319.6,-227.9,987.6,893.4,961.3,-94.2,67.9,-26.3,7509.97,6232.65,5724.82,-1277.32,-507.83,-1785.15,2.27,2.24,2.62,-0.03,0.38,0.35,1,1,1,0.0,0.0,0.0,0.8108,0.7568,0.6757,-0.054,-0.0811,-0.1351,1013071,1016425,721426,3354.0,-294999.0,-291645.0
foodsaver,javascript,0.7027,0.7838,0.7838,0.0811,0.0,0.0811,0.5932,0.7273,0.6087,0.1341,-0.1186,0.0155,2223.5,2518.6,2489.0,295.1,-29.6,265.5,1069.2,686.3,743.6,-382.9,57.3,-325.6,5537.9,4938.61,4938.06,-599.29,-0.55,-599.84,2.59,2.38,2.46,-0.21,0.08,-0.13,1,1,1,0.0,0.0,0.0,0.7838,0.8378,0.8108,0.054,-0.027,0.027,701339,759561,921297,58222.0,161736.0,219958.0
foodsaver,python,1.0,0.973,1.0,-0.027,0.027,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,3245.2,2698.4,3305.9,-546.8,607.5,60.7,988.3,821.5,894.7,-166.8,73.2,-93.6,7112.06,6348.85,9304.66,-763.21,2955.81,2192.6,2.41,2.22,2.3,-0.19,0.08,-0.11,0.0,3,0.0,3.0,-3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,944080,939797,1365202,-4283.0,425405.0,421122.0
kinmail_srs,java,0.5385,0.0,0.6923,-0.5385,0.6923,0.1538,1.0,1.0,1.0,0.0,0.0,0.0,2518.2,3023.6,2814.9,505.4,-208.7,296.7,765.9,1672.7,913.8,906.8,-758.9,147.9,2002.8,1380.35,2677.54,-622.45,1297.19,674.74,2.54,4.0,2.62,1.46,-1.38,0.08,1,1,1,0.0,0.0,0.0,0.9231,1.0,1.0,0.0769,0.0,0.0769,292278,136191,339311,-156087.0,203120.0,47033.0
kinmail_srs,javascript,0.6154,0.0,0.7692,-0.6154,0.7692,0.1538,0.6667,0.5686,0.4375,-0.0981,-0.1311,-0.2292,2215.0,2839.0,2639.5,624.0,-199.5,424.5,659.0,1402.8,866.1,743.8,-536.7,207.1,1476.87,1009.78,2175.36,-467.09,1165.58,698.49,2.38,4.0,2.54,1.62,-1.46,0.16,1,1,1,0.0,0.0,0.0,0.6923,0.1538,0.7692,-0.5385,0.6154,0.0769,238541,123012,301485,-115529.0,178473.0,62944.0
kinmail_srs,python,0.9231,1.0,0.9231,0.0769,-0.0769,0.0,1.0,0.0,1.0,-1.0,1.0,0.0,3054.0,4396.8,2663.7,1342.8,-1733.1,-390.3,779.4,1557.5,936.2,778.1,-621.3,156.8,3272.38,1980.25,2682.57,-1292.13,702.32,-589.81,2.38,3.38,1.85,1.0,-1.53,-0.53,4,0.0,2,-4.0,2.0,-2.0,1.0,1.0,1.0,0.0,0.0,0.0,555840,285804,302386,-270036.0,16582.0,-253454.0
